Date,Passage
1/1/24,Gen 1-2; Mat 1; Ps 1; Pro 1
1/2/24,Gen 3-5; Ps 2; Pro 2
1/3/24,Gen 6-7; Mat 2; Ps 3; Pro 3
1/4/24,Gen 8-10; Mat 3; Ps 4; Pro 4
1/5/24,Gen 11-12; Ps 5; Pro 5
1/6/24,Gen 13-15; Mat 4; Ps 6; Pro 6
1/7/24,Gen 16-17; Mat 5; Ps 7; Pro 7
1/8/24,Gen 18-20; Ps 8; Pro 8
1/9/24,Gen 21-22; Mat 6; Ps 9; Pro 9
1/10/24,Gen 23-25; Mat 7; Ps 10; Pro 10
1/11/24,Gen 26-27; Mat 8; Ps 11; Pro 11
1/12/24,Gen 28-30; Ps 12; Pro 12
1/13/24,Gen 31-33; Mat 9; Ps 13; Pro 13
1/14/24,Gen 34-35; Mat 10; Ps 14; Pro 14
1/15/24,Gen 36-38; Ps 15; Pro 15
1/16/24,Gen 39-40; Mat 11; Ps 16; Pro 16
1/17/24,Gen 41-43; Mat 12; Ps 17; Pro 17
1/18/24,Gen 44-45; Mat 13; Ps 18; Pro 18
1/19/24,Gen 46-48; Ps 19; Pro 19
1/20/24,Gen 49-50; Mat 14; Ps 20; Pro 20
1/21/24,Ex 1-3; Mat 15; Ps 21; Pro 21
1/22/24,Ex 4-5; Ps 22; Pro 22
1/23/24,Ex 6-8; Mat 16; Ps 23; Pro 23
1/24/24,Ex 9-11; Mat 17; Ps 24; Pro 24
1/25/24,Ex 12-13; Mat 18; Ps 25; Pro 25
1/26/24,Ex 14-16; Ps 26; Pro 26
1/27/24,Ex 17-18; Mat 19; Ps 27; Pro 27
1/28/24,Ex 19-21; Mat 20; Ps 28; Pro 28
1/29/24,Ex 22-23; Ps 29; Pro 29
1/30/24,Ex 24-26; Mat 21; Ps 30; Pro 30
1/31/24,Ex 27-28; Mat 22; Ps 31; Pro 31
2/1/24,Ex 29-31; Mat 23; Ps 32; Pro 1
2/2/24,Ex 32-33; Ps 33; Pro 2
2/3/24,Ex 34-36; Mat 24; Ps 34; Pro 3
2/4/24,Ex 37-39; Mat 25; Ps 35; Pro 4
2/5/24,Ex 40; Lev 1; Ps 36; Pro 5
2/6/24,Lev 2-4; Mat 26; Ps 37; Pro 6
2/7/24,Lev 5-6; Mat 27; Ps 38; Pro 7
2/8/24,Lev 7-9; Mat 28; Ps 39; Pro 8
2/9/24,Lev 10-11; Ps 40; Pro 9
2/10/24,Lev 12-14; Mk 1; Ps 41; Pro 10
2/11/24,Lev 15-16; Mk 2; Ps 42; Pro 11
2/12/24,Lev 17-19; Ps 43; Pro 12
2/13/24,Lev 20-21; Mk 3; Ps 44; Pro 13
2/14/24,Lev 22-24; Mk 4; Ps 45; Pro 14
2/15/24,Lev 25-27; Mk 5; Ps 46; Pro 15
2/16/24,Num 1-2; Ps 47; Pro 16
2/17/24,Num 3-5; Mk 6; Ps 48; Pro 17
2/18/24,Num 6-7; Mk 7; Ps 49; Pro 18
2/19/24,Num 8-10; Ps 50; Pro 19
2/20/24,Num 11-12; Mk 8; Ps 51; Pro 20
2/21/24,Num 13-15; Mk 9; Ps 52; Pro 21
2/22/24,Num 16-17; Mk 10; Ps 53; Pro 22
2/23/24,Num 18-20; Ps 54; Pro 23
2/24/24,Num 21-22; Mk 11; Ps 55; Pro 24
2/25/24,Num 23-25; Mk 12; Ps 56; Pro 25
2/26/24,Num 26-28; Ps 57; Pro 26
2/27/24,Num 29-30; Mk 13; Ps 58; Pro 27
2/28/24,Num 31-33; Mk 14; Ps 59; Pro 28
2/29/24,Num 34-35; Mk 15; Ps 60; Pro 29
3/1/24,Num 36; Deut 1-2; Ps 61; Pro 30
3/2/24,Deut 3-4; Mk 16; Ps 62; Pro 31
3/3/24,Deut 5-7; Luk 1; Ps 63; Pro 1
3/4/24,Deut 8-9; Ps 64; Pro 2
3/5/24,Deut 10-12; Luk 2; Ps 65; Pro 3
3/6/24,Deut 13-14; Luk 3; Ps 66; Pro 4
3/7/24,Deut 15-17; Luk 4; Ps 67; Pro 5
3/8/24,Deut 18-20; Ps 68; Pro 6
3/9/24,Deut 21-22; Luk 5; Ps 69; Pro 7
3/10/24,Deut 23-25; Luk 6; Ps 70; Pro 8
3/11/24,Deut 26-27; Ps 71; Pro 9
3/12/24,Deut 28-30; Luk 7; Ps 72; Pro 10
3/13/24,Deut 31-32; Luk 8; Ps 73; Pro 11
3/14/24,Deut 33-34; Josh 1; Ps 74; Pro 12
3/15/24,Josh 2-3; Luk 9; Ps 75; Pro 13
3/16/24,Josh 4-6; Luk 10; Ps 76; Pro 14
3/17/24,Josh 7-8; Luk 11; Ps 77; Pro 15
3/18/24,Josh 9-11; Ps 78; Pro 16
3/19/24,Josh 12-14; Luk 12; Ps 79; Pro 17
3/20/24,Josh 15-16; Luk 13; Ps 80; Pro 18
3/21/24,Josh 17-19; Ps 81; Pro 19
